step,train_loss,val_nll,val_ppl,lr
1,4.333899974822998,4.32409942150116,75.4974908177829,8e-05
20,3.925029385089874,3.8529278337955475,47.13085272420155,0.0007998870983196141
40,3.564948546886444,3.4292452931404114,30.853348726777885,0.000798828291252125
60,3.296113395690918,3.2913843393325806,26.880049020499442,0.0007966578782042971
80,3.203811454772949,3.130871742963791,22.893928467064843,0.0007933819085065736
100,3.1187439799308776,2.989772528409958,19.88115957818595,0.0007890095128740697
120,3.055419218540192,3.0004491806030273,20.094560983339615,0.0007835528779576329
140,2.9890686750411986,2.9557411074638367,19.21595853434197,0.0007770272123774601
160,2.8569265484809874,2.885458379983902,17.91177611371279,0.0007694507043339473
180,2.809734833240509,2.797642081975937,16.40591732045492,0.0007608444709139105
200,2.811967122554779,2.8014100790023804,16.467851378530533,0.0007512324992334792
220,2.7757452845573427,2.766468584537506,15.902376835084649,0.0007406415795817004
240,2.7573918223381044,2.7148807644844055,15.102809173293295,0.0007291012307511987
260,2.7077226638793945,2.7562954127788544,15.741419336477934,0.0007166436177640058
280,2.712212324142456,2.702583134174347,14.918217754285275,0.0007033034622218768
300,2.714105021953583,2.6253729164600372,13.809723099002406,0.0006891179455309566
320,2.664572060108185,2.6405036449432373,14.020263064449818,0.0006741266052705338
340,2.681855797767639,2.6567276418209076,14.249582981366068,0.000658371224994715
360,2.6582277536392214,2.587066799402237,13.290729995586364,0.0006418957177741654
380,2.6340862274169923,2.5887114107608795,13.312606064987099,0.0006247460038025052
400,2.6399948358535767,2.6108253598213196,13.610279595251505,0.0006069698824084937
420,2.6154324769973756,2.5609146654605865,12.947654673632082,0.0005886168988307262
440,2.631862151622772,2.553927004337311,12.857496215657424,0.0005697382061261692
460,2.616319143772125,2.609371066093445,13.590500636695188,0.0005503864225974146
480,2.6141276478767397,2.5681375861167908,13.041513114003743,0.0005306154851360332
500,2.5932222962379456,2.5721075236797333,13.093390012683605,0.0005104804988907854
520,2.5777027368545533,2.560965657234192,12.948314914341198,0.0004900375836796852
540,2.5895872831344606,2.5436573028564453,12.726129271947997,0.000469343717574005
560,2.567378282546997,2.592281937599182,13.36022404227405,0.00044845657809016956
580,2.568030858039856,2.5745380222797394,13.125252183574627,0.00042743438143217347
600,2.583488631248474,2.540726751089096,12.688889284825441,0.0004063357202325796
620,2.559893178939819,2.5509780943393707,12.819636466450987,0.00038521940024434213
640,2.565235233306885,2.555460572242737,12.877229186255704,0.00036414427643862666
660,2.552807855606079,2.5720329582691193,13.0924137350797,0.00034316908896544937
680,2.549995708465576,2.5501016080379486,12.80840515346394,0.00032235229943434324
700,2.5636042237281798,2.5484816431999207,12.787672784872148,0.00030175192797136696
720,2.55820209980011,2.575171619653702,13.133570943984815,0.00028142539150660743
740,2.538460922241211,2.5324523746967316,12.584329817632526,0.000261429343742897
760,2.5499125480651856,2.5319916009902954,12.578532625038967,0.00024181951725178301
780,2.555444025993347,2.50202813744545,12.207226805210295,0.00022265056813685442
800,2.559051239490509,2.524957686662674,12.490366743323822,0.00020397592369737874
820,2.542150104045868,2.547684669494629,12.777485405986504,0.00018584763351683537
840,2.5681789994239805,2.538332611322403,12.65854664714465,0.00016831622439139233
860,2.5654625058174134,2.528773993253708,12.538124884141359,0.0001514305595026615
880,2.526379930973053,2.5178023278713226,12.401312674703645,0.00013523770222724951
900,2.570151722431183,2.5162559747695923,12.382150685802435,0.00011978278496268367
920,2.534124255180359,2.5082793831825256,12.28377619497772,0.0001051088833353271
940,2.573311960697174,2.5460754930973053,12.756940712505248,9.125689614088106e-05
960,2.5412312269210817,2.5409735441207886,12.69202120073247,7.826543135210637e-05
980,2.552990472316742,2.5217560529708862,12.450441112063379,6.617069851147899e-05
1000,2.534218966960907,2.5531732738018036,12.847808779466376,5.5006407808699544e-05
1020,2.550978219509125,2.5396708250045776,12.675497827085064,4.480367612434986e-05
1040,2.5433465600013734,2.5615336894989014,12.955672064337628,3.559094030156462e-05
1060,2.5323238730430604,2.4895784854888916,12.056193188877431,2.7393877887450292e-05
1080,2.5468027710914614,2.5241684913635254,12.480513293265002,2.0235335565154733e-05
1100,2.55359970331192,2.526068866252899,12.50425349783367,1.4135265476064518e-05
1120,2.547766375541687,2.4980573654174805,12.158850799081216,9.110669609607714e-06
1140,2.540182185173035,2.579399049282074,13.18920971254834,5.175552415660256e-06
1160,2.5140300989151,2.5485218167304993,12.788186521155032,2.340881771632253e-06
1180,2.5518895387649536,2.5088296830654144,12.290537815868205,6.145584130264226e-07
1200,2.537967121601105,2.485458940267563,12.006629316240364,1.393912671243669e-09
